X,Y,OBJECTID,COUNTY_NAME,ANA,MCN,LOCATION,PROP_CLASS,USED_AS_DESC,CovertFromBusinessCodes,SWIS,PARCEL_ADDR,PRINT_KEY,SBL,CITYTOWN_SWIS,LOC_ST_NBR,LOC_UNIT,LOC_ZIP,ROLL_SECTION,LAND_AV,TOTAL_AV,FULL_MARKET_VAL,YR_BLT,FRONT,DEPTH,SQ_FT,ACRES,SCHOOL_CODE,SCHOOL_NAME,SEWER_TYPE,SEWER_DESC,WATER_SUPPLY,WATER_DESC,UTILITIES,UTILITIES_DESC,BLDG_STYLE,BLDG_STYLE_DESC,HEAT_TYPE,HEAT_TYPE_DESC,FUEL_TYPE,FUEL_TYPE_DESC,SQFT_LIVING,GFA,NBR_KITCHENS,NBR_FULL_BATHS,NBR_BEDROOMS,USED_AS_CODE
-73.55287168,41.79167899,553,Dutchess,Amenia,Amenia,Route 22,425,Nbhd tavern,Bar,132000,4012 Route 22,7165-00-271367-0000,7.17E+17,132000,4012,,125920000,1,84000,180000,180000,1971,0,0,0,0.35,133801,Northeast,2,Private,2,Private,4,Gas & elec,,,,,,,,1502,,,,C06
-73.55937884,41.80482858,678,Dutchess,Amenia,Amenia,Main St,425,External apt,Bar,132000,10 Main St,7165-01-094844-0000,7.17E+17,132000,10,,125920000,1,67000,367700,367700,1920,0,0,0,0.51,133801,Northeast,2,Private,2,Private,4,Gas & elec,,,,,,,,6320,,,,A07
-73.58110393,41.84758431,1346,Dutchess,Amenia,Amenia,Route 44,425,Nbhd tavern,Bar,132000,4905 Route 44,7067-00-489398-0000,7.07E+17,132000,4905,,125010000,1,123500,409800,409800,1940,0,0,0,3.9,133801,Northeast,2,Private,2,Private,4,Gas & elec,,,,,,,,2482,,,,C06
-73.96136976,41.5014293,2953,Dutchess,Beacon,Beacon,E Main St,425,Restaurant,Bar,130200,47 E Main St,6054-38-180717-0000,6.05E+17,130200,47,,125080000,1,80000,320000,326500,,0,0,0,0.05,130200,Beacon,3,Comm/public,3,Comm/public,4,Gas & elec,,,,,,,,,,,,C01
-73.94924774,41.51425252,6523,Dutchess,Beacon,Beacon,Fishkill Ave,425,External apt,Bar,130200,469 Fishkill Ave,6055-04-508186-0000,6.06E+17,130200,469,,125080000,1,100000,400000,408200,,0,0,0,0.22,130200,Beacon,3,Comm/public,3,Comm/public,4,Gas & elec,,,,,,,,,,,,A07
-73.71653975,41.58520673,6949,Dutchess,Beekman,Beekman,Greenhaven Rd,425,Nbhd tavern,Bar,132200,3 Greenhaven Rd,6657-08-861807-0000,6.66E+17,132200,3,,125700000,1,96900,273500,284900,1990,0,0,0,0.23,134601,Arlington,2,Private,2,Private,3,Electric,,,,,,,,1152,,,,C06
-73.58280293,41.7437171,14909,Dutchess,Dover,Dover,Route 22,425,External apt,Bar,132600,3202 Route 22,7063-10-465624-0000,7.06E+17,132600,3202,,125220000,1,52300,272900,545800,1960,0,0,0,1.5,132602,Dover,2,Private,3,Comm/public,3,Electric,,,,,,,,7275,,,,A07
-73.55412314,41.65511476,16755,Dutchess,Dover,Dover,Route 55,425,External apt,Bar,132600,6521 Route 55,7160-03-285393-0000,7.16E+17,132600,6521,,125940000,1,38100,114500,229000,1931,0,0,0,0.56,132602,Dover,2,Private,2,Private,4,Gas & elec,,,,,,,,2761,,,,A07
-73.93820263,41.52176593,30418,Dutchess,Fishkill,Fishkill,Route 52,425,Nbhd tavern,Bar,133089,632 Route 52,6055-16-808464-0000,6.06E+17,133000,632,,125080000,1,125000,436800,441200,1966,0,0,0,0.43,130200,Beacon,2,Private,3,Comm/public,4,Gas & elec,,,,,,,,3476,,,,C06
-73.90920597,41.76592843,41343,Dutchess,Hyde Park,Hyde Park,Violet Ave,425,Nbhd tavern,Bar,133200,787 Violet Ave,6164-04-557364-0000,6.16E+17,133200,787,,125380000,1,137800,143500,276000,1960,0,0,0,1.55,133201,Hyde Park,2,Private,2,Private,3,Electric,,,,,,,,2636,,,,C06
-73.9090426,41.74986423,42214,Dutchess,Hyde Park,Hyde Park,Violet Ave,425,Nbhd tavern,Bar,133200,556 Violet Ave,6163-02-563776-0000,6.16E+17,133200,556,,125380000,1,76400,105200,202300,1965,0,0,0,0.29,133201,Hyde Park,2,Private,2,Private,3,Electric,,,,,,,,1617,,,,C06
-73.88293854,41.73699869,42404,Dutchess,Hyde Park,Hyde Park,Salt Point Tpke,425,Nbhd tavern,Bar,133200,504 Salt Point Tpke,6263-03-281312-0000,6.26E+17,133200,504,,126030000,1,99100,132800,255400,1940,0,0,0,0.53,133201,Hyde Park,2,Private,2,Private,3,Electric,,,,,,,,4060,,,,C06
-73.79369285,41.67060664,45816,Dutchess,La Grange,La Grange,Route 55,425,Nbhd tavern,Bar,133400,1189 Route 55,6460-02-734905-0000,6.46E+17,133400,1189,,125400000,1,225000,265000,270400,,0,0,0,1.19,134601,Arlington,2,Private,2,Private,4,Gas & elec,,,,,,,,5221,,,,C06
-73.85675475,41.68062424,48884,Dutchess,La Grange,La Grange,Freedom Plains Rd,425,Restaurant,Bar,133400,464 Freedom Plains Rd,6361-03-010261-0000,6.36E+17,133400,464,,126030000,1,77900,212200,216500,1970,0,0,0,0.49,134601,Arlington,2,Private,2,Private,4,Gas & elec,,,,,,,,1375,,,,C01
-73.82220623,41.74527516,63228,Dutchess,Pleasant Valley,Pleasant Valley,Main St,425,External apt,Bar,134400,1631 Main St,6363-12-937621-0000,6.36E+17,134400,1631,,125690000,1,22800,280000,287200,1937,0,0,0,0.35,134601,Arlington,2,Private,3,Comm/public,3,Electric,,,,,,,,5351,,,,A07
-73.90301444,41.68332172,65152,Dutchess,"Poughkeepsie, City",Poughkeepsie,Hooker Ave,425,Walk-up apt,Bar,131300,347 Hooker Ave,6161-66-744353-0000,6.16E+17,131300,347,,126030000,1,114500,742700,742700,1966,0,0,0,0.51,131300,Poughkeepsie,3,Comm/public,3,Comm/public,4,Gas & elec,,,,,,,,7936,,,,A01
-73.90948383,41.69736285,66441,Dutchess,"Poughkeepsie, City",Poughkeepsie,Main St,425,Nbhd tavern,Bar,131300,698 Main St,6161-33-564864-0000,6.16E+17,131300,698,,126010000,1,50000,450000,450000,1890,0,0,0,0.16,131300,Poughkeepsie,3,Comm/public,3,Comm/public,4,Gas & elec,,,,,,,,2024,,,,C06
-73.93174348,41.69420081,67893,Dutchess,"Poughkeepsie, City",Poughkeepsie,South Ave,425,Walk-up apt,Bar,131300,South Ave,6061-44-956742-0000,6.06E+17,131300,,,126010000,1,54000,375000,375000,1900,0,0,0,0.27,131300,Poughkeepsie,3,Comm/public,3,Comm/public,4,Gas & elec,,,,,,,,3330,,,,A01
-73.93620462,41.70588216,70339,Dutchess,"Poughkeepsie, City",Poughkeepsie,Main St,425,Restaurant,Bar,131300,85 Main St,6062-75-832171-0000,6.06E+17,131300,85,,126010000,1,55500,310900,310900,1956,0,0,0,0.14,131300,Poughkeepsie,3,Comm/public,3,Comm/public,4,Gas & elec,,,,,,,,5920,,,,C01
-73.93607104,41.70546052,70340,Dutchess,"Poughkeepsie, City",Poughkeepsie,Main St,425,Walk-up apt,Bar,131300,96 Main St,6062-75-844158-0000,6.06E+17,131300,96,,126010000,1,38000,659300,659300,1920,0,0,0,0.34,131300,Poughkeepsie,3,Comm/public,3,Comm/public,4,Gas & elec,,,,,,,,8064,,,,A01
-73.92594255,41.70130444,71086,Dutchess,"Poughkeepsie, City",Poughkeepsie,Academy St,425,Nbhd tavern,Bar,131300,33 Academy St,6162-77-112003-0000,6.16E+17,131300,33,,126010000,1,75000,710900,710900,1920,0,0,0,0.41,131300,Poughkeepsie,3,Comm/public,3,Comm/public,4,Gas & elec,,,,,,,,22724,,,,C06
-73.92283754,41.70224418,71123,Dutchess,"Poughkeepsie, City",Poughkeepsie,Main St,425,Nbhd tavern,Bar,131300,411 Main St,6162-78-196040-0000,6.16E+17,131300,411,,126010000,1,20000,185000,185000,1935,0,0,0,0.08,131300,Poughkeepsie,3,Comm/public,3,Comm/public,4,Gas & elec,,,,,,,,1674,,,,C06
-73.93423448,41.70842334,72277,Dutchess,"Poughkeepsie, City",Poughkeepsie,Mill St,425,Walk-up apt,Bar,131300,135 Mill St,6062-68-887266-0000,6.06E+17,131300,135,,126010000,1,93500,159600,159600,1910,0,0,0,0.59,131300,Poughkeepsie,3,Comm/public,3,Comm/public,4,Gas & elec,,,,,,,,3016,,,,A01
-73.92258121,41.71267207,72652,Dutchess,"Poughkeepsie, City",Poughkeepsie,Parker Ave,425,Nbhd tavern,Bar,131300,103 Parker Ave,6162-54-204417-0000,6.16E+17,131300,103,,126010000,1,56500,211600,211600,1940,0,0,0,0.11,131300,Poughkeepsie,3,Comm/public,3,Comm/public,4,Gas & elec,,,,,,,,2766,,,,C06
-73.9027545,41.69607134,76958,Dutchess,"Poughkeepsie, Town",Poughkeepsie,Main St,425,Walk-up apt,Bar,134689,770 Main St,6161-07-749818-0000,6.16E+17,134600,770,,126030000,1,80000,232500,234800,,0,0,0,0.15,134601,Arlington,3,Comm/public,3,Comm/public,4,Gas & elec,,,,,,,,2760,,,,A01
-73.83444053,41.96714984,91090,Dutchess,Rhinebeck,Rhinebeck,Route 308,425,Restaurant,Bar,135089,1094 Route 308,6371-00-555706-0000,6.37E+17,135000,1094,,125720000,1,85000,322200,322200,1972,0,0,0,1,134801,Red Hook,2,Private,2,Private,3,Electric,,,,,,,,1768,,,,C01
-73.87230038,41.88010779,91458,Dutchess,Rhinebeck,Rhinebeck,Route 9G,425,Nbhd tavern,Bar,135089,Route 9G,6268-00-543530-0000,6.27E+17,135000,,,125800000,1,107800,293400,293400,1957,0,0,0,2.5,135001,Rhinebeck,2,Private,2,Private,3,Electric,9,Cottage,3,Hot wtr/stm,4,Oil,576,,1,1,1,C06
-73.71571129,41.72998989,97675,Dutchess,Union Vale,Union Vale,Route 82,425,,Bar,135400,3399 Route 82,6663-20-850083-0000,6.66E+17,135400,3399,,125850000,1,22100,177500,181100,,0,0,0,1.1,135801,Millbrook,2,Private,2,Private,4,Gas & elec,,,,,,,,1992,,,,
-73.72816652,41.72898119,97725,Dutchess,Union Vale,Union Vale,Milewood Rd,425,,Bar,135400,8 Milewood Rd,6663-19-509045-0000,6.66E+17,135400,8,,125850000,1,73500,96000,98000,,0,0,0,0.87,135801,Millbrook,2,Private,2,Private,4,Gas & elec,,,,,,,,7492,,,,
-73.94002691,41.56024656,98232,Dutchess,Wappinger,Wappinger,Route 9D,425,Nbhd tavern,Bar,135689,Route 9D,6056-02-746856-0000,6.06E+17,135600,,,125900000,1,165000,295000,298000,,0,0,0,9.34,130200,Beacon,2,Private,2,Private,4,Gas & elec,,,,,,,,1850,,,,C06
-73.92883462,41.58153346,100409,Dutchess,Wappinger,Wappinger,Route 9D,425,Nbhd tavern,Bar,135689,2363 Route 9D,6157-01-057642-0000,6.16E+17,135600,2363,,125900000,1,75000,140000,141400,,0,0,0,0.2,135601,Wappingers,2,Private,2,Private,4,Gas & elec,,,,,,,,9856,,,,C06
-73.96751234,41.5033962,3292,Dutchess,Beacon,Beacon,Main St,422,Diner,Diners and luncheonettes,130200,397 Main St,6054-29-011790-0000,6.05E+17,130200,397,,125080000,1,75000,600000,612200,,0,0,0,0.11,130200,Beacon,3,Comm/public,3,Comm/public,4,Gas & elec,,,,,,,,,,,,C02
-73.58505852,41.74564765,14932,Dutchess,Dover,Dover,Route 22,422,Diner,Diners and luncheonettes,132600,3237 Route 22,7063-01-410679-0000,7.06E+17,132600,3237,,125220000,1,46500,70600,141200,1950,0,0,0,0.33,132602,Dover,2,Private,3,Comm/public,3,Electric,,,,,,,,2040,,,,C02
-73.90467459,41.53476105,36149,Dutchess,"Fishkill, Village",Fishkill,Main St,422,Diner,Diners and luncheonettes,133001,1053 Main St,6155-07-722939-0000,6.16E+17,133000,1053,,125240000,1,400000,707200,714300,1971,0,0,0,0.94,135601,Wappingers,3,Comm/public,3,Comm/public,4,Gas & elec,,,,,,,,2484,,,,C02
