WKT,OBJECTID,RouteNumber,RouteSigning,Qualifier,Ramp,DOT_ID,CO,FactorGroup,BeginDescription,EndDescription,HPMSSampleID,BIN,RRCrossing,NHS,RoadwayName,RoadNum,Speed,Oneway,RCSTA,RCStation,GIS_ID,FROM_MEASURE,TO_MEASURE,CountStatsID,CountyFIPS,StationNumber,CCSTA,FunctionalClass,FederalDirection,FullCount,OnewayFlag,CalculationYear,AE_Flag,AADT,DHV,DDHV,SU_AADT,CU_AADT,YearLastAct,AADTLastAct,KFactor,DFactor,Year2LastAct,AADT2LastAct,Year3LastAct,AADT3LastAct,Year4LastAct,AADT4LastAct,ClassCountYear,AvgWeekdayF3_13,AvgTruckPercent,AvgSUPercent,AvgCUPercent,AvgMotorcyclePercent,AvgCarPercent,AvgLightTruckPercent,AvgBusPercent,AvgWeekday_F5_7,AxleFactor,SU_Peak,CU_Peak,ClassGroupYear,SpeedCountYear,SpeedLimit,AvgSpeed,FiftiethPercentileSpeed,EightyFifthPercentileSpeed,PercentileExceeding55,PercentileExceeding65,AvgKFactor,AvgDFactor,DD_ID,TruckAADT,SymbolizedTruckPercentageAADT,AE_Truck,TruckPercentSourceFieldName,DOT_RegionName,DOT_RegionNumber,DOT_CountyNumber,MorningHighestValue,AfternoonHighestValue,EveningHighestValue,RCSTAYearDirection,SHAPE_Length,,
"(-73.8964340441837 41.6955950384728,-73.895596008973 41.6953459612703,-73.8949850597836 41.6952120090521,-73.894684005533 41.6951359772236,-73.8946260475009 41.6951169545719,-73.8943829495277 41.6950320239419,-73.8941089693649 41.69489797522,-73.89391504195 41.6947839721949,-73.8934230331777 41.6944559767335,-73.8928859973186 41.6940699891335,-73.8928254357149 41.6940190720916)",130113,983W, ,1, ,100845,1,30,ACC RAMP AT JCT FAIRMONT AVE,RT 55 END RT 983W/BEFORE BUR,6938021,1070120, ,Y,MAIN ST, ,55,Y,820915,820915,100845011,0,0.22,39256528,27,915,,14,0,Y,Y,2019,F,3238,268,268,121,3,2018,3250,8,100,2015,3142,2014,2904,2009,2634,2018,18,4,4,0,0,82,14,1,3,1,0,0,2019,2018,35,36,37,42,0,0,13.07251072,59.18663025,0,124,4,Actual,,,,,240,200,274,"820915,  2019, CT",354.0563779,,
"(-73.8964340441837 41.6955950384728,-73.895596008973 41.6953459612703,-73.8949850597836 41.6952120090521,-73.894684005533 41.6951359772236,-73.8946260475009 41.6951169545719,-73.8943829495277 41.6950320239419,-73.8941089693649 41.69489797522,-73.89391504195 41.6947839721949,-73.8934230331777 41.6944559767335,-73.8928859973186 41.6940699891335,-73.8928254357149 41.6940190720916)",130114,983W, ,1, ,100845,1,30,ACC RAMP AT JCT FAIRMONT AVE,RT 55 END RT 983W/BEFORE BUR,6938021,1070120, ,Y,MAIN ST, ,55,Y,820915,820915,100845011,0,0.22,39237271,27,915,,14,3,,Y,2019,F,3238,,,121,3,2018,3250,,,,,,,,,2018,18,4,4,0,0,82,14,1,3,1,0,0,2019,2018,35,36,37,42,0,0,,,1,124,4,Actual,,,,,240,200,274,"820915,  2019, EB",354.0563779,,
"(-73.9059569817056 41.6969410368919,-73.9057160186967 41.6968919964109,-73.9055730204205 41.6968629832295)",132754, ,5,1, ,183583,1,30,POUGHKEEPSIE CL,SOUTH GRAND AVE, , , , ,MAIN ST,CR114,55, ,828073,828073,183583011,0,0.02,39171785,27,8073,,17,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,2,,4,Estimated,,,,,,,,,33.1069684,,
"(-73.9059569817056 41.6969410368919,-73.9057160186967 41.6968919964109,-73.9055730204205 41.6968629832295)",132755, ,5,1, ,183583,1,30,POUGHKEEPSIE CL,SOUTH GRAND AVE, , , , ,MAIN ST,CR114,55, ,828073,828073,183583011,0,0.02,39246440,27,8073,,17,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,,4,Estimated,,,,,,,,,33.1069684,,
"(-73.9059569817056 41.6969410368919,-73.9057160186967 41.6968919964109,-73.9055730204205 41.6968629832295)",132756, ,5,1, ,183583,1,30,POUGHKEEPSIE CL,SOUTH GRAND AVE, , , , ,MAIN ST,CR114,55, ,828073,828073,183583011,0,0.02,39211180,27,8073,,17,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,1,,4,Estimated,,,,,,,,,33.1069684,,
"(-73.9014404211084 41.6961504818423,-73.901393022013 41.6961449631864,-73.8991140540853 41.6959110389557,-73.8989130176149 41.6958890272958,-73.8975980605362 41.6957489714779,-73.8967339504775 41.6956470061389)",133129, ,5,1, ,183583,1,30,RAYMOND AVE,TAFT AVE, , , , ,MAIN ST,CR114,30, ,828553,828553,183583011,0.24,0.49,39111938,27,8553,,17,7,,,2019,A,6424,,,115,6,2019,6424,,,,,,,,,2015,12,2,2,0,0,88,10,0,1,1,0,0,2019,2015,30,26,28,34,0,0,,,2,121,2,Actual,,,,,389,453,622,"828553,  2019, WB",395.6498717,,
"(-73.9014404211084 41.6961504818423,-73.901393022013 41.6961449631864,-73.8991140540853 41.6959110389557,-73.8989130176149 41.6958890272958,-73.8975980605362 41.6957489714779,-73.8967339504775 41.6956470061389)",133130, ,5,1, ,183583,1,30,RAYMOND AVE,TAFT AVE, , , , ,MAIN ST,CR114,30, ,828553,828553,183583011,0.24,0.49,39160460,27,8553,,17,0,Y,,2019,A,12591,1035,566,269,15,2019,12591,8,55,2015,10279,2014,10586,2008,12964,2015,12,2,2,0,0,87,10,0,2,1,0,0,2019,2015,30,27,28,34,0,0,13.07251072,59.18663025,0,284,2,Actual,,,,,700,1025,1135,"828553,  2019, CT",395.6498717,,
"(-73.9014404211084 41.6961504818423,-73.901393022013 41.6961449631864,-73.8991140540853 41.6959110389557,-73.8989130176149 41.6958890272958,-73.8975980605362 41.6957489714779,-73.8967339504775 41.6956470061389)",133131, ,5,1, ,183583,1,30,RAYMOND AVE,TAFT AVE, , , , ,MAIN ST,CR114,30, ,828553,828553,183583011,0.24,0.49,39144227,27,8553,,17,3,,,2019,A,6167,,,154,9,2019,6167,,,,,,,,,2015,13,3,2,0,0,87,11,1,2,1,0,0,2019,2015,30,27,28,34,0,0,,,1,163,3,Actual,,,,,329,574,514,"828553,  2019, EB",395.6498717,,
"(-73.9116849403467 41.6981337524916,-73.9113970564861 41.698049037117,-73.911162057842 41.6979950206571,-73.9097269993241 41.697703999709,-73.9085233467898 41.6974628382799)",133892, , ,1, ,187066,1,30,CHURCH ST,WORRALL AVE, , , , ,MAIN ST, ,30, ,828679,828679,187066011,1.63,1.8,39238275,27,8679,,17,0,Y,,2019,A,11268,870,490,260,7,2019,11268,8,56,2016,11403,2015,11005,2014,10808,2019,12,2,2,0,0,88,10,0,2,1,0,0,2019,2019,30,17,18,25,0,0,13.07251072,59.18663025,0,267,2,Actual,,,,,552,668,701,"828679,  2019, CT",273.5890486,,
"(-73.9116849403467 41.6981337524916,-73.9113970564861 41.698049037117,-73.911162057842 41.6979950206571,-73.9097269993241 41.697703999709,-73.9085233467898 41.6974628382799)",133893, , ,1, ,187066,1,30,CHURCH ST,WORRALL AVE, , , , ,MAIN ST, ,30, ,828679,828679,187066011,1.63,1.8,39148760,27,8679,,17,7,,,2019,A,4969,,,119,1,2019,4969,,,,,,,,,2019,12,2,2,0,1,87,10,0,2,1,0,0,2019,2019,30,17,18,25,0,0,,,2,120,2,Actual,,,,,301,350,401,"828679,  2019, WB",273.5890486,,
