X,Y,DEPT_ID,STATION,ESN,ATY,COI,CID,AID,ANA,AAD,MCN,STA,SOD,DLU,MAILADD,MAILTOWN,MAILZIP,PARCEL_SBL,NAME,WEBLINK,ADDRESS
-73.9738694,41.48237742,37,DJ-1,515,F,36027,133089,14038,DUTCHESS JUNCTION FIRE DEPARTMENT,41 SLOCUM RD,FISHKILL,NY,DCER,20040429,PO BOX 107,BEACON,12508,3089-5954-00-775030,DUTCHESS JUNCTION FIRE DEPARTMENT,,41 SLOCUM RD
-73.96089722,41.50108624,33,BN-1,501,F,36027,130200,14003,CITY OF BEACON ST. 1,57 E MAIN ST,BEACON CITY,NY,DCER,20040429,57 E MAIN ST,BEACON,12508,0200-6054-38-186702,CITY OF BEACON ST. 1,http://www.beaconfd.org,57 E MAIN ST
-73.96662432,41.50291687,33,BN-HQ,501,F,36027,130200,14003,CITY OF BEACON HDQRTS,425 MAIN ST,BEACON CITY,NY,DCER,20040429,425 MAIN ST,BEACON,12508,0200-6054-29-026773,CITY OF BEACON HDQRTS,http://www.beaconfd.org,425 MAIN ST
-73.97742675,41.50738756,33,BN-2,501,F,36027,130200,14003,CITY OF BEACON ST. 2,13 SOUTH AV,BEACON CITY,NY,DCER,20040429,13 SOUTH AV,BEACON,12508,0200-5954-26-725933,CITY OF BEACON ST. 2,http://www.lewistompkinshose.com,13 SOUTH AV
-73.96339462,41.54321364,91,CP-1,564,F,36027,133089,14331,CASTLE POINT FIRE DEPARTMENT,12 NURSING HOME RD,FISHKILL,NY,DCER,20040429,41 CASTLE POINT RD,CASTLE POINT,12511,3089-6056-03-048221,CASTLE POINT FIRE DEPARTMENT,,12 NURSING HOME RD
-73.96680709,41.55212534,35,CH-1,"513, 564, 566, 547",F,36027,135689,14005,CHELSEA FIRE DISTRICT,16 LIBERTY ST,WAPPINGER,NY,DCER,20040429,PO BOX 61,CHELSEA,12512,5689-6056-09-016577,CHELSEA FIRE DISTRICT,,16 LIBERTY ST
-73.90119269,41.53563247,42,FI-1,555,F,36027,133001,14010,VILLAGE OF FISHKILL FIRE DEPARTMENT,1132 MAIN ST,FISHKILL VILLAGE,NY,DCER,20040429,1132 MAIN ST,FISHKILL,12524,3001-6155-08-819968,VILLAGE OF FISHKILL FIRE DEPARTMENT,http://www.fishkillfd.com,1132 MAIN ST
-73.93389175,41.51972986,43,GL-1,517,F,36027,133089,14011,GLENHAM FIRE DEPARTMENT,76 OLD GLENHAM RD,FISHKILL,NY,DCER,20040429,PO BOX 391,GLENHAM,12527,3089-6055-16-930385,GLENHAM FIRE DEPARTMENT,,76 OLD GLENHAM RD
-73.92833406,41.58017488,45,HU-1,548,F,36027,135689,14013,HUGHSONVILLE FIRE DEPARMENT,88 OLD HOPEWELL RD,WAPPINGER,NY,DCER,20040429,PO BOX 545,HUGHSONVILLE,12537,5689-6157-01-075577,HUGHSONVILLE FIRE DEPARMENT,http://www.hfd45.org/,88 OLD HOPEWELL RD
-73.87131145,41.60692436,52,NK-1,549,F,36027,135689,14019,NEW HACKENSACK FIRE DEPARTMENT,217 MYERS CORNERS RD,WAPPINGER,NY,DCER,20040429,217 MYERS CORNERS RD,WAPPINGERS FALLS,12590,5689-6258-02-625574,NEW HACKENSACK FIRE DEPARTMENT,http://www.nkfd.org,217 MYERS CORNERS RD
-73.9190308,41.59466776,68,WP-1,562,F,36027,135601,14034,WAPPINGERS FALLS FIRE DEPARTMENT ST. 1,25 W ACADEMY ST,WAPPINGERS FALLS VILLAGE,NY,DCER,20040429,PO BOX 88,WAPPINGERS FALLS,12590,5601-6158-18-318122,WAPPINGERS FALLS FIRE DEPARTMENT ST. 1,"http://departments.firehouse.com/dept/WappingersFallsNY
",25 W ACADEMY ST
-73.92014465,41.60195536,68,WP-2,562,F,36027,134601,14034,WAPPINGERS FALLS FIRE DEPARTMENT ST. 2,5 SCHOOL ST,WAPPINGERS FALLS VILLAGE,NY,DCER,20040429,5 SCHOOL ST,WAPPINGERS FALLS,12590,4601-6158-14-292382,WAPPINGERS FALLS FIRE DEPARTMENT ST. 2,"http://departments.firehouse.com/dept/WappingersFallsNY
",5 SCHOOL ST
-73.9173358,41.61376348,53,NH-2,"537, 567",F,36027,134689,14020,NEW HAMBURG FIRE DEPARTMENT ST. 2,2886 ROUTE 9D,POUGHKEEPSIE,NY,DCER,20040429,PO BOX 54,WAPPINGERS FALLS,12590,4689-6158-01-370812,NEW HAMBURG FIRE DEPARTMENT ST. 2,http://www.nhfd.org,2886 ROUTE 9D
-73.94182146,41.59251968,53,NH-1,"537, 567",F,36027,134689,14020,NEW HAMBURG FIRE DEPARTMENT ST. 1,15 CHANNINGVILLE RD,POUGHKEEPSIE,NY,DCER,20040429,15 CHANNINGVILLE RD,WAPPINGERS FALLS,12590,4689-6058-04-694049,NEW HAMBURG FIRE DEPARTMENT ST. 1,http://www.nhfd.org,15 CHANNINGVILLE RD
