County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,X,Y
Dutchess,741000,Store,JAC,EZ WHITE STREET CORP,EZ WHITE STREET,31,SOUTHWHITE STREET,,,POUGHKEEPSIE,NY,12601,1000,,
Dutchess,130579,Store,A,ECKERD CORP,RITE AID 10713,709,MAIN ST,,,POUGHKEEPSIE,NY,12601,10000,-73.907852,41.697327
Dutchess,131147,Store,JAC,ANNSUN FOOD MART INC,ANNSUN FOOD MART,2194,SOUTH RD,,,POUGHKEEPSIE,NY,12601,600,-73.919373,41.63971
Dutchess,706569,Store,JAC,MCDOWELL JOCELYN C,PINOY ASIAN FOODS CHIBU,794,DUTCHESS TURNPIKE,,,POUGHKEEPSIE,NY,12603,1800,-73.873124,41.701292
Dutchess,130125,Store,JAC,ARLINGTON GETTY MART INC,ARLINGTON GETTY,813,MAIN ST,,,POUGHKEEPSIE,NY,12603,4000,-73.89865,41.695861
Dutchess,747843,Store,JAC,DREAM BURNER SMOKE AND CONVENIENC,DREAM BURNER SMOKE AND,530,MAIN STREET,,,POUGHKEEPSIE,NY,12601,1200,-73.91736,41.700497
Dutchess,135967,Store,JAC,STEWARTS SHOPS CORP,STEWARTS SHOP 306,85,CREEK RD,,,POUGHKEEPSIE,NY,12601,2250,-73.904407,41.720364
Dutchess,722846,Store,JAC,A&A GROCERY MART CORP,A&A GROCERY MART,337,MANSION STREET,,,POUGHKEEPSIE,NY,12601,800,-73.912937,41.704177
Dutchess,712033,Store,A,BIG LOTS STORES INC,BIG LOTS #1607,43,BURNETT BLVD,,,POUGHKEEPSIE,NY,12603,10000,-73.888873,41.698935
Dutchess,130855,Store,A,WALGREEN EASTERN CO INC,WALGREENS #07932,2024,SOUTH RD,,,POUGHKEEPSIE,NY,12601,14000,-73.916522,41.627766
Dutchess,748626,Store,JAC,SMITH STREET MART INC,SMITH STREET MART,108,SMITH ST,,,POUGHKEEPSIE,NY,12601,2000,-73.916162,41.705759
Dutchess,130697,Store,JAC,QUENCH IT INC,HALF TIME,2290,SOUTH RD,,,POUGHKEEPSIE,NY,12601,8000,-73.923448,41.645665
Dutchess,131144,Store,JAC,DIMPYS FOOD MART & DELI INC,DIMPYS FOOD MART & DELI,401,VASSAR RD,,,POUGHKEEPSIE,NY,12603,1000,-73.890776,41.633653
Dutchess,705378,Store,JAC,DELAFIELD DELI INC,DELAFIELD DELI,41,WHINFIELD ST,,,POUGHKEEPSIE,NY,12601,800,-73.93436,41.713189
Dutchess,130587,Store,A,CVS ALBANY LLC,CVS PHARMACY 02595,722,DUTCHESS TPKE,,,POUGHKEEPSIE,NY,12603,8000,-73.878513,41.699545
Dutchess,738478,Store,JAC,SPS OIL VIOLET LLC,SPS OIL VIOLET,381,VIOLET AVE,,,POUGHKEEPSIE,NY,12601,1000,-73.9095,41.738361
Dutchess,736267,Store,JAC,ERG N03 LLC,EDIBLE ARRANGEMENTS 215,2585,SOUTH RD STE 13,,,POUGHKEEPSIE,NY,12601,2000,-73.929914,41.665377
Dutchess,745240,Store,JAC,QUEEN CHOCO LLC,QUEEN CHOCO,40,ALBANY STREET,,,POUGHKEEPSIE,NY,12601,0,-73.936342,41.710929
Dutchess,745438,Store,JAC,PK BRICKS DELI I INC,PK BRICKS DELI I,81,FALLKILL AVENUE,,,POUGHKEEPSIE,NY,12601,2000,-73.90491,41.713618
Dutchess,742881,Store,JAC,H E DELI & CONVENIENCE INC,PK BRICKS DELI,81,FALLKILL AVENUE,,,POUGHKEEPSIE,NY,12601,0,-73.90491,41.713618
Dutchess,746522,Store,A,CITY SPECIALTY PHARMACY LLC,CITY SPECIALTY PHARMACY,324,MAIN ST,,,POUGHKEEPSIE,NY,12601,1200,-73.926236,41.703116
Dutchess,740331,Store,JAC,ARTIGIANI DEL GELATO LLC,ARTIGIANI DEL GELATO,8,NORTH CHERRY STREET,,,POUGHKEEPSIE,NY,12601,500,-73.917797,41.701441
Dutchess,130887,Store,JAC,WELCOME ORIENTAL MARKET INC,WELCOME ORIENTAL MARKET,1820,NEW HACKENSACK RD,,,POUGHKEEPSIE,NY,12603,2000,,
Dutchess,131102,Store,JAC,POUGHKEEPSIE SUPERMARKET CORP,MARKET FRESH,690,MAIN ST,,,POUGHKEEPSIE,NY,12601,50000,-73.910682,41.697898
Dutchess,748390,Store,JAC,WHITE MART DELI INC,WHITE MART DELI,31,S WHITE STREET,,,POUGHKEEPSIE,NY,12601,2000,-73.916795,41.697523
